state,county,2010_population,2015_population,,FIPS
Texas,Calhoun,21381,21887,CalhounTexas,48057
West Virginia,Calhoun,7627,7463,CalhounWest Virginia,54013
Texas,Callahan,13544,13589,CallahanTexas,48059
Missouri,Callaway,44332,44699,CallawayMissouri,29027
Kentucky,Calloway,37191,38656,CallowayKentucky,21035
Wisconsin,Calumet,48971,49818,CalumetWisconsin,55015
Maryland,Calvert,88737,90477,CalvertMaryland,24009
Idaho,Camas,1117,1070,CamasIdaho,16025
Pennsylvania,Cambria,143679,136028,CambriaPennsylvania,42021
Georgia,Camden,50513,52439,CamdenGeorgia,13039
Missouri,Camden,44002,44735,CamdenMissouri,29029
New Jersey,Camden,513657,507638,CamdenNew Jersey,34007
North Carolina,Camden,9980,10282,CamdenNorth Carolina,37029
Louisiana,Cameron,6839,6825,CameronLouisiana,22023
Pennsylvania,Cameron,5085,4776,CameronPennsylvania,42023
Texas,Cameron,406220,419450,CameronTexas,48061
Texas,Camp,12401,12699,CampTexas,48063
Kentucky,Campbell,90336,92124,CampbellKentucky,21037
South Dakota,Campbell,1466,1413,CampbellSouth Dakota,46021
Tennessee,Campbell,40716,39772,CampbellTennessee,47013
Virginia,Campbell,54842,55356,CampbellVirginia,51031
Wyoming,Campbell,46133,49258,CampbellWyoming,56005
Oklahoma,Canadian,115541,133158,CanadianOklahoma,40017
Georgia,Candler,10998,10873,CandlerGeorgia,13043
Tennessee,Cannon,13801,13740,CannonTennessee,47015
Idaho,Canyon,188923,206842,CanyonIdaho,16027
Missouri,CapeGirardeau,75674,78238,CapeGirardeauMissouri,29031
New Jersey,CapeMay,97265,94160,CapeMayNew Jersey,34009
Montana,Carbon,10078,10403,CarbonMontana,30009
Pennsylvania,Carbon,65249,63753,CarbonPennsylvania,42025
Utah,Carbon,21403,20391,CarbonUtah,49007
Wyoming,Carbon,15885,15613,CarbonWyoming,56007
Idaho,Caribou,6963,6733,CaribouIdaho,16029
Kentucky,Carlisle,5104,4852,CarlisleKentucky,21039
Minnesota,Carlton,35386,35409,CarltonMinnesota,27017
Maryland,Caroline,33066,32595,CarolineMaryland,24011
Virginia,Caroline,28545,29900,CarolineVirginia,51033
Arkansas,Carroll,27446,27755,CarrollArkansas,5015
Georgia,Carroll,110527,114461,CarrollGeorgia,13045
Illinois,Carroll,15387,14642,CarrollIllinois,17015
Indiana,Carroll,20155,19887,CarrollIndiana,18015
Iowa,Carroll,20816,20423,CarrollIowa,19027
Kentucky,Carroll,10811,10682,CarrollKentucky,21041
Maryland,Carroll,167134,167132,CarrollMaryland,24013
Mississippi,Carroll,10597,10203,CarrollMississippi,28015
Missouri,Carroll,9295,8879,CarrollMissouri,29033
New Hampshire,Carroll,47818,47399,CarrollNew Hampshire,33003
Ohio,Carroll,28836,27718,CarrollOhio,39019
Tennessee,Carroll,28522,27982,CarrollTennessee,47017
Virginia,Carroll,30042,29870,CarrollVirginia,51035
Nevada,CarsonCity,55274,54068,CarsonCityNevada,32510
Texas,Carson,6182,6013,CarsonTexas,48065
Kentucky,Carter,27720,27439,CarterKentucky,21043
Missouri,Carter,6265,6280,CarterMissouri,29035
Montana,Carter,1160,1147,CarterMontana,30011
Oklahoma,Carter,47557,48568,CarterOklahoma,40019
Tennessee,Carter,57424,56375,CarterTennessee,47019
