state,county,FIPS,SVI_sum_of_indicators,SVI_ranking,percent_uninsured
MONTANA,Flathead,30029,4.8812,0.1127,14
WISCONSIN,Polk,55095,4.8838,0.113,8.5
NORTH CAROLINA,Currituck,37053,4.886,0.1133,14.1
SOUTH DAKOTA,Douglas,46043,4.887,0.1137,12.2
NORTH DAKOTA,Ward,38101,4.8883,0.114,8.2
VIRGINIA,Clarke,51043,4.8911,0.1143,14.1
NORTH CAROLINA,Dare,37055,4.8933,0.1146,17.8
NEW JERSEY,Somerset,34035,4.8997,0.1149,7.1
NORTH DAKOTA,Eddy,38027,4.9093,0.1152,8
TEXAS,Rockwall,48397,4.9156,0.1156,11.7
IOWA,Palo Alto,19147,4.9236,0.1159,4.9
NEBRASKA,Holt,31089,4.9245,0.1165,7.3
NEBRASKA,Sarpy,31153,4.9245,0.1162,6
IOWA,Humboldt,19091,4.9261,0.1168,4
NEBRASKA,Wayne,31179,4.9268,0.1172,6.1
INDIANA,Spencer,18147,4.9274,0.1175,8.4
KENTUCKY,Boone,21015,4.9306,0.1178,6.7
TEXAS,Glasscock,48173,4.9328,0.1181,21.5
MONTANA,Treasure,30103,4.9354,0.1184,7.1
NEBRASKA,Burt,31021,4.9386,0.1188,8.8
WISCONSIN,Bayfield,55007,4.9401,0.1191,8.8
MINNESOTA,Le Sueur,27079,4.9459,0.1194,5.3
VIRGINIA,Lancaster,51103,4.9462,0.1197,12
KANSAS,Kingman,20095,4.9522,0.12,8.2
MISSOURI,Clinton,29049,4.9602,0.1203,11.8
COLORADO,La Plata,8067,4.9663,0.1207,12.9
OHIO,Lake,39085,4.9688,0.121,6.7
SOUTH DAKOTA,Lake,46079,4.9723,0.1213,6.9
KANSAS,Comanche,20033,4.9726,0.1216,13.3
TEXAS,Irion,48235,4.9755,0.1219,20
MISSOURI,Cass,29037,4.9771,0.1223,8.4
VIRGINIA,Arlington,51013,4.9793,0.1226,8.6
COLORADO,Larimer,8069,4.9803,0.1229,8.5
SOUTH DAKOTA,Brookings,46011,4.9822,0.1232,6.5
GEORGIA,Dawson,13085,4.9885,0.1235,13.4
IOWA,Hamilton,19079,4.9889,0.1238,6.6
MARYLAND,Howard,24027,4.9924,0.1242,5.1
KANSAS,Nemaha,20131,4.9968,0.1245,5.6
NEBRASKA,Nance,31125,4.9971,0.1251,9.4
NEBRASKA,Boyd,31015,4.9971,0.1248,11.3
IOWA,Keokuk,19107,4.9975,0.1254,5.4
IOWA,Chickasaw,19037,5,0.1258,5.8
KENTUCKY,Bullitt,21029,5.0022,0.1261,6.2
NEBRASKA,Antelope,31003,5.0038,0.1264,8.6
WISCONSIN,Price,55099,5.0045,0.1267,6.2
NEBRASKA,Brown,31017,5.0064,0.127,12.2
VIRGINIA,Augusta,51015,5.0067,0.1273,10.4
VERMONT,Washington,50023,5.0076,0.1277,4.7
TEXAS,King,48269,5.0096,0.128,23.7
NEBRASKA,Harlan,31083,5.0108,0.1283,10.9
INDIANA,Union,18161,5.0166,0.1286,11.7
IOWA,Marion,19125,5.0201,0.1289,3.3
ILLINOIS,Clinton,17027,5.0267,0.1293,5.2
