state,county,2010_population,2015_population
New York,Kings,2504700,2608794
Colorado,Kiowa,1398,1384
Kansas,Kiowa,2553,2570
Oklahoma,Kiowa,9446,9116
Illinois,Knox,52919,51370
Indiana,Knox,38440,37760
Kentucky,Knox,31883,31465
Maine,Knox,39736,39786
Missouri,Knox,4131,3907
Nebraska,Knox,8701,8468
Ohio,Knox,60921,61001
Tennessee,Knox,432226,451297
Texas,Knox,3719,3792
Arkansas,Lafayette,7645,7010
Florida,Lafayette,8870,8724
Louisiana,Lafayette,221578,239332
Mississippi,Lafayette,47351,52736
Missouri,Lafayette,33381,32624
Wisconsin,Lafayette,16836,16791
California,Lake,64665,64260
Colorado,Lake,7310,7442
Florida,Lake,297052,325154
